artist,link,song,text
America,/a/america/slow+down_20007129.html,Slow Down,"I hear you knockin' but you can't come in  
You wear your stockings like you think it's a sin  
Don't try to tell me you ain't been where you been  
'Cause I know that you've been messin' round with him  
So slow down  
(Bop shoo wop, you'd better slow down)  
Come on down  
(Bop shoo wop, you'd better slow down)  
Oh down  
(Bop shoo wop, you'd better slow down)  
Before it gets too late  
Before it gets too late  
I met you dancin' at the high school gym  
You rubbed against me my head started to spin  
You turned around gave me a wink and a grin  
And then you told me that you'd like to be friends  
Don't slow down  
(Bop shoo wop, you'd better slow down)  
Don't slow down  
(Bop shoo wop, you'd better slow down)  
Don't slow down  
(Bop shoo wop, you'd better slow down)  
Don't slow down  
Before it gets too late  
Before it gets too late  
Take it!  
(Bop shoo wop, you'd better slow down)  
On down  
(Bop shoo wop, you'd better slow down)  
On down  
(Bop shoo wop, you'd better slow down)  
Don't try to tell me  
(Bop shoo wop, you'd better slow down)  
You'll never sell me  
(Bop shoo wop, you'd better slow down)  
Before it gets too late  
I said before it gets too late  
You know before it gets too late  
Oh, hey  

"
Bing Crosby,/b/bing+crosby/ill+be+home+for+christmas_20528333.html,I'll Be Home For Christmas,"I'll be home for Christmas  
You can plan on me  
Please have snow and mistletoe  
And presents on the tree  
  
Christmas Eve will find me  
Where the love light gleams  
I'll be home for Christmas  
If only in my dreams  
  
I'll be home for Christmas  
You can plan on me  
Please have snow and mistletoe  
And presents on the tree  
  
Christmas Eve'll find me  
Where the love light gleams  
I'll be home for Christmas  
If only in my dreams

"
Britney Spears,/b/britney+spears/rebellion_20526391.html,Rebellion,"You might not believe it  
But trust me this is true  
You fall for their poison  
And become a part of their crew  
I'm in a rebellion  
And I'm up against the truth  
So will you join me?  
Or will you be taken too?  
  
You'll find it in rebellion  
Your body starts breaking in  
They're not believing what they're seeing  
'Cause you're rebellion  
  
You'll find it so compelling  
'Cause everyone's yelling  
'Cause your soul you're not selling  
'Cause you're rebellion  
  
Be wary of others  
The ones closest to you  
The poison they feed you  
And the voodoo that they do  
But in rebellion there's a sparkle of truth  
Don't just stand there  
Do what you got to do  
  
You'll find it in rebellion  
You'll finally start breathing  
They're not believing what they're seeing  
'Cause you're rebellion  
  
You'll find it so compelling  
With everyone yelling  
'Cause your soul you're not selling  
'Cause you're rebellion  
  
The eye that is deceiving is the one trapping us in  
I'm fighting a losing battle and my patience is wearing thin  
But in rebellion there's a glimmer of light  
And nobody claims the crown without some sacrifice  
  
You'll find it in rebellion  
You'll finally start breathing  
They're not believing what they're seeing  
'Cause you're rebellion  
  
You'll find it so compelling  
'Cause everyone's yelling  
'Cause your soul you're not selling  
'Cause you're rebellion

"
Cat Stevens,/c/cat+stevens/another+saturday+night_20028203.html,Another Saturday Night,"[Chorus: ]  
Another Saturday night and I ain't got nobody  
I've got some money cause I just got paid  
Now how I wish I had someone to talk to  
I'm in an awful way  
  
I got in town a month ago  
I've seen a lot of girls since then  
If I could meet 'em I could get 'em  
But as yet I haven't met 'em  
That's how I'm in the state I'm in  
  
[Chorus]  
  
Another fella told me  
He had a sister who looked just fine  
Instead of being my deliverance  
She had a strange resemblance  
To a cat named Frankenstein  
  
[Chorus]  
  
It's hard on a fella  
When he don't know his way around  
If I don't find me a honey  
To help me spend my money  
I'm gonna have to blow this town  
  
Another Saturday night and I ain't got nobody  
I've got some money cause I just got paid  
Now how I wish I had someone to talk to  
I'm in an awful way  
  
Another Saturday night and I ain't got nobody  
I've got some money cause I just got paid  
Now how I wish I had someone to talk to  
I'm in an awful ooo  
I'm in an awful way  
He's in an awful way  
  
I'm in an awful ooo  
I'm in an awful way  
He's in an awful way  
I'm in an awful way

"
Cheap Trick,/c/cheap+trick/lookin+out+for+number+one_20029425.html,Lookin' Out For Number One,"I'm lookin' out for number one, yeah  
I'm lookin' out for number one  
Work and slave, sometimes succeed  
I'm lookin' out for number one  
  
I got hot but never got burned  
Well all I know is she should have learned  
Get too close you'll fall right in  
You should have known, you can't do that now  
  
I see what's goin' on  
I've known it all along  
I've seen what's goin' on  
  
I'm lookin' out for number one, yeah  
I'm lookin' out for number one  
Work and slave, sometimes succeed  
I'm lookin' out for number one  
  
When I'm hot she says she's not  
Don't get too close, she's over the top  
Think by now, well, I would have learned  
She's all talk, I really got burned now  
  
I see what's goin' on  
I've known it all along  
I've seen what's goin' on  
I'm lookin' out for number one, yeah  
I'm lookin' out for number one  
Work and slave, sometimes succeed  
I'm lookin' out for number one  
  
I'm lookin' out for number one, yeah  
I'm lookin' out for number one  
Work and slave, sometimes succeed  
I'm lookin' out for number one, yeah, oh yeah

"
Children,/c/children/the+bear_20590434.html,The Bear,"The other day,  
(The other day)  
I met a bear,  
(I met a bear)  
Away up there,  
(Away up there)  
A great big bear!  
(A great big bear!)  
  
The other day I met a bear,  
A great big bear a way up there!  
  
He looked at me  
(He looked at me)  
I looked at him  
(I looked at him)  
He sized up me  
(He sized up me)  
I sized up him  
(I sized up him)  
  
He looked at me, I looked at him,  
He sized up me, I sized up him.  
  
He said to me  
(He said to me)  
""Why don't you run?  
(""Why don't you run?)  
I see you don't  
(I see you don't)  
Have any gun""  
(Have any gun"")  
  
He said to me, ""Why don't you run?  
I see you don't have any gun. ""  
  
And so I ran  
(And so I ran)  
Away from there  
(Away from there)  
And right behind  
(And right behind)  
Me was that bear  
(Me was that bear)  
  
And so I ran away from there,  
And right behind me was a that bear.  
  
Ahead of me  
(Ahead of me)  
I saw a tree  
(I saw a tree)  
A great big tree  
(A great big tree)  
Oh, golly gee!  
(Oh, golly gee!)  
  
Ahead of me there was a tree,  
A great big tree, oh, golly gee!  
  
The lowest branch  
(The lowest branch)  
Was ten feet up  
(Was ten feet up)  
I had to jump  
(I had to jump)  
And trust my luck  
(And trust my luck)  
  
The lowest branch was ten feet up,  
I had to jump and trust my luck.  
  
And so I jumped  
(And so I jumped)  
Into the air  
(Into the air)  
And missed that branch  
(And missed that branch)  
Away up there  
(Away up there)  
  
And so I jumped into the air,  
And missed that branch away up there.  
  
Now don't you fret  
(Now don't you fret)  
And don't you frown  
(And don't you frown)  
I caught that branch  
(I caught that branch)  
On the way back down  
(On the way back down)  
  
Now don't you fret and don't you frown,  
I caught that branch on the way back down.  
  
That's all there is  
(That's all there is)  
There is no more  
(There is no more)  
Until I meet  
(Until I meet)  
That bear once more  
(That bear once more)  
  
That's all there is, there is no more,  
Until I meet that bear once more.  
  
The end, the end  
(The end, the end)  
The end, the end  
(The end, the end)  
The end, the end  
(The end, the end)  
The end, the end!  
(The end, the end!)  
  
The end, the end, the end, the end,  
This time it really is the end!

"
Chris Brown,/c/chris+brown/gettin+money_21027889.html,Gettin' Money,"Ok, I walked inside the club with my grills on  
These bitches in my V. I. P. You know what goes on  
You got me 'bout to take my shirt off, she rollin' tryna party (party)  
She said she wanted a threesome, then I meet her girl named Miley (Miley)  
I said, ""Oh no, woah woah, damn damn, oh oh!""  
Her jaw locked, when my balls dropped then she really started to chow down  
Head game is the meanest it make me a parapalegic  
That pill kicked in like third degree and she started havin' a seizure  
So what nigga you gotta attitude fuck you and yo' demeanor  
I'm partyin' to death I make a mess you gotta clean up  
Oh my - bad 'cause I'm acting like a peanut  
All you see at the top in V. I. P. Is these nuts  
  
I'm gettin' money, what's a stack?  
You see me gettin' money, what's a stack?  
Been gettin' money, what's a stack?  
Let me show you how a real nigga throw these racks!  
Throw these racks!  
Real nigga throw these racks!  
Throw these racks!  
Real nigga throw these racks!  
  
Ok, I'm outside niggas hatin', they be tryna keep my car  
They done fucked 'round made me mad I'm about to buy the bar  
Order mo' shots, mo' liquor, mo' hoes, no nigga!  
Sneak all I'm at the back door, they packed on pack they rollin' wit' us  
Damn my chain might glitter, this boy be from Virginia  
And she tell yo' ass to stop but she don't say that when I'm in her  
Haha, 'cause I-hi, I kick that shit my ninja  
My cardiac is winter, yo' shawty is my dinna'  
I met a bad bitch at the starbucks  
Straight to the telly that's a star fuck  
Tens, fifties and them hunnids  
I ain't talkin' numbers bitch, I'm talkin' monaaay  
  
I'm gettin' money, what's a stack?  
You see me gettin' money, what's a stack?  
Been gettin' money, what's a stack?  
Let me show you how a real nigga throw these racks!  
Throw these racks!  
Real nigga throw these racks!  
Throw these racks!  
Real nigga throw these racks!  
  
Look, let me stop the talkin' gon' and pop that shit for daddy  
A nigga got his money if you know I gotta live it up and all my money  
Stacked in my attic  
A little belligerent, I'm crazy! I'm coughin' like an asthmatic  
And niggas claimin' they bad but bitch nigga you know I'm the baddest  
Shake it, shake it, shake it in my face  
Give a damn about yo' name but I care about yo' waist haaa  
Naked naked, girl I want yo' birthday cake  
Fuck you talkin' 'bout celebate, we gon' celebrate!  
  
I'm gettin' money, what's a stack?  
You see me gettin' money, what's a stack?  
Been gettin' money, what's a stack?  
Let me show you how a real nigga throw these racks!  
Throw these racks!  
Real nigga throw these racks!  
Throw these racks!  
Real nigga throw these racks!

"
Christina Aguilera,/c/christina+aguilera/my+girls_20882531.html,My Girls,"My girls wear lipstick while they're making my beats  
They got guitar picks in their purses, Louboutins on their feet  
They got no time for waiting in lines  
They got sex and 808s running through their dirty minds  
  
My girls, we're running the show  
My girls, we're teasing all the boys on the go  
My girls, 'cause that's the way that we roll  
My girls, so ladies step it up and take control  
  
Now shout, my girls we're stronger than one  
Now shout, and sometimes we gotta have fun (come on!)  
  
My girls headed to the city, y'all  
We got Cosmo on the dash and tickets on the floor  
We got Sia, and Rhonna, and Peaches too  
We got Johanna and JD and we're coming for you  
  
My girls (my girls)  
  
My girls, we're running the show  
My girls, we're teasing all the boys on the go  
My girls, 'cause that's the way that we roll  
My girls, so ladies step it up and take control  
  
Now shout, my girls we're stronger than one  
Now shout, and sometimes we gotta have fun (come on!)  
  
My girls are screaming, and yelling, and getting loud  
My girls are shaking up the party while you're getting down  
My girls are singing, and dancing and having fun  
My girls are cooking up a beat, and they want you to come  
  
I like my girls hot, sweet, tough, or play me  
Either way trainable primate  
Self reliant, giant, death defiant,  
No Colby Briant  
I take it both for you, if you give me a taste  
I wreck a mullet or two yeah below the waist  
You're my bff, you're my 606  
303 am I swingin'  
  
My girls stay close when they see trouble around  
They got jewels on their fingers, it's about to go down  
We got no time for haters you know, we just came to party  
Come on, now here we go  
  
My girls, we're running the show  
My girls, we're teasing all the boys on the go  
My girls, cause that's the way that we roll  
My girls, so ladies step it up and take control  
  
Now shout, my girls we're stronger than one  
Now shout, and sometimes we gotta have fun  
My girls we're stronger than one  
Now shout, and sometimes  
Now shout, we gotta have fun

"
Christina Aguilera,/c/christina+aguilera/nasty+naughty+boy_20471082.html,Nasty Naughty Boy,"Come here, big boy  
Ah, mm, yeah  
  
You've been a bad, bad boy  
I'm gonna take my time, so enjoy  
There's no need to feel no shame  
Relax, and sip upon my champagne  
'Cause I wanna give you a little taste  
Of the sugar below my waist, you nasty boy  
  
I'll give you some oh-la-la  
Voulez vous coucher avec moi?  
I got you breaking into a sweat  
Got you hot, bothered, and wet  
You nasty boy  
  
Nasty, naughty boy  
  
Oh baby, for all it's worth  
I swear I'll be the first to blow your mind  
Now, if you're ready, come and get me  
I'll give you that hot, sweet, sexy loving (loving)  
  
Hush now, don't say a word  
I'm gonna give you what you deserve  
Now, you better give me a little taste  
Put your icing on my cake  
You nasty boy  
  
Oh no, oh there I go again  
I need a spanking 'cause I've been bad  
So let my body do the talkin'  
I'll slip you that hot, sweet, sexy loving  
  
Oh, ha!  
Come on, daddy!  
Oh, oh, oh, oh, oh yeah  
Oh yeah, oh, come on, sugar  
  
I got you breaking into a sweat  
Got you hot, bothered, and wet  
You nasty boy  
  
Nasty, naughty boy  
Naughty boy  
  
Oh baby, for all it's worth  
I swear I'll be the first to blow your mind  
Now that you're ready, give it to me  
Just give me that hot, sweet, sexy loving  
  
Now give me a little spanking  
Oh, oh, is that all you've got?  
Come on now, don't play with me  
  
Oh, give me that hot, sweet, nasty  
Boy, don't you make me wait  
Now you better give me a little taste  
Put your icing on my cake  
You nasty boy  
  
Mm

"
Chuck Berry,/c/chuck+berry/im+talking+about+you_20265140.html,I'm Talking About You,"This is not the Chuck Berry song of the same title.  
This is the Ray Charles song as covered by The Animals  
So there is a whole song to be replaced!  
  
Ah, ha, ha, ha, da, dah-um-dah  
Ah, ha, ha, dah-um-dah, da  
Ah, ha, ha, ha, ha, ha, ha  
Ah, ha, ha-um-ha da  
Who knows how to love me (talkin' about you)  
In my way (talkin' about you)  
Nobody but you (talkin' about you)  
Talkin' about you (talkin' about you)  
You know how to love me  
In my way  
Nobody but you  
I do mean you, you, you!  
Know how to love me  
In my way  
You're always there  
Every night and day  
Nobody but you  
I do mean you  
Talkin' 'bout you  
Whoa-oh yeah  
I'm gonna talk  
Talk about you  
Every day  
Every night  
You know on Monday  
I'm gonna talk  
On Tuesday  
I'm gonna talk  
All day Wednesday  
I'm gonna talk  
Every day (hey-ay-ay-ay)  
Every night (hey-ay-ay-ay)  
It's alright (hey-ay-ay-ay)  
Gonna talk (hey-ay-ay-ay)  
Talkin' 'bout (hey-ay-ay-ay)  
Tell my brother (hey-ay-ay-ay)  
Tell my mother (hey-ay-ay-ay)  
Tell my sister (hey-ay-ay-ay)  
Tell my father (hey-ay-ay-ay)  
Come on (shout)  
You make me (shout)  
You make me (shout)  
You're makin' me (shout)  
Feel like I wanna (shout)  
Jump up now (shout)  
Come on now (shout)  
Everybody (shout)  
Everybody (shout)  
I'm feelin' (shout)  
That I wanna (shout)  

"
