artist,link,song,text
ABBA,/a/abba/kisses+of+fire_20002926.html,Kisses Of Fire,"Lay your head on my chest so you hear every beat of my heart  
Now there's nothing at all that can keep us apart  
Touch my lips, close your eyes and see with your fingertips  
Things that you do, and you know I'm crazy 'bout you  
  
Kisses of fire, burning, burning  
I'm at the point of no returning  
Kisses of fire, sweet devotions  
Caught in a landslide of emotions  
I've had my share of love affairs and they were nothing compared to this  
Oh, I'm riding higher than the sky and there is fire in every kiss  
Kisses of fire  
Kisses of fire  
  
When you sleep by my side I feel safe and I know I belong  
Still it's making me scared that my love is so strong  
Losing you It's a nightmare, babe, and to me it's new  
Never before did you see me begging for more  
  
Kisses of fire, burning, burning  
I'm at the point of no returning  
Kisses of fire, sweet devotions  
Caught in a landslide of emotions  
I've had my share of love affairs but they were nothing compared to this  
Oh, I'm riding higher than the sky and there is fire in every kiss  
Kisses of fire  
Kisses of fire  
  
Kisses of fire, burning, burning  
I'm at the point of no returning  
Kisses of fire, sweet devotions  
Caught in a land-slide of emotions  
Kisses of fire, burning, burning  
(I'm at the point of no returning)  
Kisses of fire, sweet devotions  
I'm riding higher than the sky and there is fire in every kiss  
(Caught in a land-slide of emotions)  
Kisses of fire, burning, burning  
I'm at the point of no returning  
Kisses of fire, sweet devotions  
Caught in a land-slide of emotions

"
ABBA,/a/abba/tiger_20002561.html,Tiger,"The city is a jungle, you better take care  
Never walk alone after midnight  
If you don't believe it you better beware  
Of me  
  
I am behind you, I'll always find you, I am the tiger  
People who fear me never go near me, I am the tiger  
  
The city is a nightmare, a horrible dream  
Some of us will dream it forever  
Look around the corner and try not to scream  
It's me  
  
I am behind you, I'll always find you, I am the tiger  
People who fear me never go near me, I am the tiger  
  
Yellow eyes are glowing like the neon lights  
Yellow eyes, the spotlight of the city nights  
  
I am behind you, I'll always find you, I am the tiger  
People who fear me never go near me, I am the tiger  
  
The city is a prison, you never escape  
You're forever trapped in the alleys  
Look into the shadows and you'll see the shape  
Of me  
  
I am behind you, I'll always find you, I am the tiger  
People who fear me never go near me, I am the tiger  
Yellow eyes are glowing like the neon lights  
Yellow eyes, the spotlight of the city nights  
I am behind you, I'll always find you, I am the tiger  
People who fear me never go near me, I am the tiger  
And if I meet you, what if I eat you, I am the tiger  
I am behind you, I'll always find you, I am the tiger  
Tiger  
Tiger  
Tiger

"
ABBA,/a/abba/watch+out_20003053.html,Watch Out,"You move like a flame of fire  
Your eyes like a flash of lightning  
You lie since you're cold inside  
And I'm gonna tame you, wild thing  
You'd better watch out  
I said you'd better watch out  
Watch out  
Anywhere you go I'll find you  
Watch out  
I'll be staying close behind you  
And I've tired of waiting (Oh-a-la-la)  
Yes it's driving me crazy (Oh-a-la-la-la)  
And my patience is fading (Oh-a-la-la)  
Oh, you'd better watch out  
I said you'd better watch out  
  
You speak and you're funny lately  
You act like I was a stranger  
I think you're beginning to hate me  
But then you're a girl in danger  
  
You'd better watch out  
Ooh, I said you'd better watch out  
Watch out  
Anywhere you go I'll find you  
Watch out  
I'll be staying close behind you  
And I've tired of waiting (Oh-a-la-la)  
Yes it's driving me crazy (Oh-a-la-la-la)  
And my patience is fading (Oh-a-la-la)  
So you'd better watch out  
Yes I said you'd better watch out  
Watch out  
Watch out  
  
And I've tired of waiting (Oh-a-la-la)  
Yes it's driving me crazy (Oh-a-la-la-la)  
And my patience is fading (Oh-a-la-la)  
I said you'd better watch out  
Oh girl you'd better watch out  
Ah, you'd better watch out  
Oh, ah, you'd better watch out

"
Aerosmith,/a/aerosmith/fever_20004282.html,Fever,"I got a rip in my shoes  
And a hole in my brand new shoes  
I got a Margarita nose  
And a breath full of Mad Dog Booze  
I got the fever, fever, fever, fever  
Yeah, they threw me outta jail  
I tell ya it ain't fair  
I tried to kiss the judge  
From the electrica' chair  
Yeah we're all here  
'Cause we're not all there tonight  
The guitar's cranked  
And the bass man's blown a fuse  
And when the whole gang bangs  
Then what is your excuse?  
I got the fever, fever, fever, fever  
Fever gives you lust with an appetite  
It hits you like the fangs  
From a rattlesnake bite  
Yeah we're all here  
'Cause we're not all there tonight  
We can't run away from trouble  
There ain't no place that far  
But if we do it right at the speed of light  
There's the backseat of my car - caviar  
I was feelin' so high I forgot what day  
Now I'm feeling low down  
Even slow feels way to fast  
And now the booze don't work  
'Cause the drugs ran out of gas  
I got the fever, fever, fever, fever  
The buzz that you're gettin'  
From the crack don't last  
I'd rather be O.D.in' on the crack of her ass  
Yeah we're all here  
'Cause we're not all there tonight  
My first time ever lover  
We fell asleep out on the lawn  
And when I woke up I was all alone  
Making love to the crack of dawn  
So yo, I beg yo pardon sir  
The gangster of love rides again  
You know I gotta chill  
It gimme such a thrill  
Like a burnin' plague  
Yeah get outta my way  
Fever may be Hell and a cross to bear  
As long as I'm in heaven, honey I don't care  
You look so good baby, look so fine  
I tell you you're the image of a perfect crime  
You get so tired holdin' on so tight  
If you think you're goin' crazy  
Well you may be right  
Yeah we're all here  
'Cause we're not all there tonight

"
Aerosmith,/a/aerosmith/rats+in+the+cellar_20004469.html,Rats In The Cellar,"Goin' under, rats in the cellar  
Goin' under, skin's turnin' yellow  
Nose is runny, losin' my connection  
Losin' money, getting no affection  
  
New York City blues  
East side, West side lose  
Throw me in the slam  
Catch me if you can  
Believe  
That you're wearing  
Tearing me apart  
  
Safe complaining, 'cause everything's rotten  
Go insanin', and ain't a thing forgotten  
Feelin' cozy, rats in the cellar  
Cheeks are rosy, skin's turning yellow  
Loose and soggy, lookin' mighty lazy  
Super party, pushin up a-daisies  
  
New York City schools  
East side, west side lose  
Throw me in the slam  
Catch me if you can  
Believe  
That you're wearing  
Tearing me apart

"
Aerosmith,/a/aerosmith/scream+in+pain_20004499.html,Scream In Pain,"It's deep insignus  
That knows me well  
It's all around me  
My mind can tell  
  
And all the children  
They know my name  
They scream forever  
I know the pain  
  
Oh, feel the pain  
Oh, feel the pain  
Oh, feel the pain  
Oh, feel the pain  
  
It's a sleep insignus  
That knows me well  
She's got the fever  
She's hot as hell  
  
And all the children  
They know my name  
When night is coming  
They'll scream in pain  
  
Oh, scream in pain  
Oh, scream in pain  
Oh, scream in pain  
Oh, scream in pain  
  
Yayaya...

"
Aerosmith,/a/aerosmith/shes+on+fire_20004251.html,She's On Fire,"Oooh, she's on fire  
Oooh, she's on fire  
Hot to trot, she's a bit insane  
Little bit a pleasure  
With a little bit a pain  
I got to be smokin'  
So I know without a doubt  
Where there's smoke there's fire  
So I gotta boot it out  
Say oooh, she's on fire  
Oooh, she's on fire  
Homely child with a hang down lip  
Starved for love and companionship  
Little by little, catchin' up to me  
She's more of a woman  
Then I thought she'd be to me...yeah  
Hungry girl, she's the skinniest thing  
She's sayin' the word, I'm losin' sting ?  
She's on fire  
She hung my head in a guillotine  
She's my flame, she's a wettin' my dream  
She's on fire  
Oooh, she's on fire  
Oooh, she's on fire  
Oooh, she's on fire  
Oooh, she's on fire

"
Aerosmith,/a/aerosmith/spiderman+theme_20644486.html,Spiderman Theme,"Spiderman, spiderman  
Does whatever a spider can  
Spins a web, any size  
Catches thieves just like flies  
  
Look out here comes the spiderman  
  
Is he strong, listen bud  
He's got radioactive blood  
Can he swing, from a thread  
No escape from his spider-web  
  
Look out there goes the spiderman  
  
When chill meets the night  
at the scream of a crime  
Like a stream of light  
He arrives just in time  
Look out, life is a great big bang-up  
Wherever there is a hang-up  
You'll find the spiderman.

"
Air Supply,/a/air+supply/just+between+the+lines_20004929.html,Just Between The Lines,"(graham russell)  
I'll always need a friend  
One I can defend  
All I've got to give  
Is do you want to live  
With me every day till I pass away  
I've been sitting here  
Frightened stiff with fear  
Love has brought it on  
And it must go on  
Being here with you,  
Taking what is mine  
Just between the lines  
And here we are, here we are  
All alone for me to take  
And here you are, here you are  
All alone for me to take  
Fell in love today  
Little words to say  
Let us close the door  
That's what doors are for  
Being here with you  
Taking what is mine  
Just between the lines  
I'll always need a friend  
One I can defend  
All I've got to give  
Is do you want to live  
Being here with you  
Taking what is mine  
Just between the lines  

"
Alabama,/a/alabama/fire+on+fire_20005122.html,Fire On Fire,"He was a stranger in a little town  
She was sittin' alone in a crowd  
Listening to the old jukebox playin' a song  
From the moment we walked through the diner door  
She felt something like never before  
A feelin' so strong right from the start  
It wouldn't stop - it was more than a spark  
  
[Chorus:]  
Fire on fire they were burnin' up  
Over a coffee cup, under the table they touched  
Fire on fire, in each others eyes they just had to try  
'cause fire on fire just won't die  
  
It was gettin' late but they had all night  
They sat there talkin' 'bout their lives  
He was sellin', she uas gettin' ready to buy  
That ole neon light was glowin' dim  
But he could see by the way she was lookin' at him  
Tonight would be different, somethin' had changed  
His lonely heart was feelin' a flame  
  
[Repeat chorus]  
[Bridge]  
She needed him, he needed her  
And they both knew, without a word  
There was no question, there was no doubt  
There was no way they could put it out  
  
Fire on fire they were burnin' up  
Over a coffee cup, under the table they touched  
Fire on fire, in each other's eyes they just had to try  
'cause fire on fire, fire on fire  
Fire on fire just won't die  
  
Tag  
Fire on fire  
Just won't die  
Fire on fire

"
