artist,link,song,text
ABBA,/a/abba/fernando+in+spanish_20930420.html,Fernando (In Spanish),"Puedes escuchar Fernando?  
Me recuerda tiempo atras  
Estrellas y una noche alla  
En la lumbre azul Fernando  
Tarareabas tu cancion  
Con ese suave guitarrear  
Yo podia escuchar  
Esos tambores con un sordo redoblar  
  
Se acercaban mas fernando  
Y el momento que pasaba  
Parecia eternidad  
Y senti temor Fernando  
Por la vida y juventud  
Nadie pensaba en morir  
Y no siento hoy verguenza al  
Confesar que tuve  
Ganas de llorar  
  
Algo habia alrededor quiza  
De claridad Fernando  
Que brillaba por nosotros dos  
En proteccion Fernando  
No pensabamos jamas perder  
Ni echar atras  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
  
La vejez llego Fernando  
Y con ella una paz  
Que hoy logramos disfrutar  
Se durmio el tambor Fernando  
Paraciera que fue ayer  
Que lo vivimos tu y yo  
Y en tus ojos veo aun  
Aquel orgullo que refleja tu valor.  
  
Algo habia alrededor quiza  
De claridad Fernando  
Que brillaba por nosotros dos  
En proteccion Fernando  
No pensabamos jamas perder  
Ni echar atras  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
  
Algo habia alrededor quiza  
De claridad Fernando  
Que brillaba por nosotros dos  
En proteccion Fernando  
No pensabamos jamas perder  
Ni echar atras  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
  
Si tuviera que volverlo a hacer  
Lo haria ya Fernando  
  
[Repeata y ""fade""]

"
ABBA,/a/abba/hole+in+your+soul_20002873.html,Hole In Your Soul,"You feel bad, let me tell you, we all get the blues  
Sometimes life is a burden, weighed down in your shoes  
When it's bad, worse, worst  
(And when you're feeling so bad)  
And you think you're cursed  
(And you've got it sad)  
Well, if there's one thing for the better that can turn you loose  
  
It's gotta be rock'n roll  
To fill the hole in your soul  
There's gotta be rock'n roll  
To fill the hole in your soul  
  
My friend Sam is a chauffeur, Annie goes to school  
Jerry works at the office, Sue lies by the pool  
But on all weekends  
(Together again)  
When I meet my friends  
(I'm gonna see them now)  
And we're lookin' round for the action we sure play it cool  
  
It's gotta be rock'n roll  
To fill the hole in your soul  
There's gotta be rock'n roll  
To fill the hole in your soul  
  
You paint your world and use all colors  
And then you find it all comes out too bright  
You know it's only a lie  
The songs you sing are too romantic  
And when you want the truth  
They only spit in your eye  
Oh yeah, they're only telling you lies  
Oh yeah, there's gotta be rock'n roll  
To fill the hole in your soul  
  
You feel bad, let me tell you, we all get the blues  
Sometimes life is a burden, weighed down in your shoes  
When it's bad, worse, worst  
(You know you're feeling so bad)  
And you think you're cursed  
(And you've got it sad)  
Well, if there's one thing for the better that can turn you loose  
  
It's gotta be rock'n roll  
To fill the hole in your soul  
There's gotta be rock'n roll  
To fill the hole in your soul  
  
There's gotta be rock'n roll  
To fill the hole in your soul  
There's gotta be rock'n roll  
To fill the hole in your soul  
There's gotta be rock'n roll  
To fill the hole in your soul  
  
There's gotta be rock'n roll  
To fill the hole in your soul  
There's gotta be rock'n roll  
To fill the hole in your soul

"
ABBA,/a/abba/the+piper_20002946.html,The Piper,"They came from the hills  
And they came from the valleys and the plains  
They struggled in the cold  
In the heat and the snow and in the rain  
Came to hear him play  
Play their minds away  
  
We're all following a strange melody  
We're all summoned by a tune  
We're following the piper  
And we dance beneath the moon  
We're following the piper  
And we dance beneath the moon for him  
And we dance beneath the moon  
Sub luna saltamus  
  
They came from the south  
From the west and the north and from the east  
They waited for the man  
Like a parish is waiting for the priest  
Longed to hear him play  
Play their minds away  
  
We're all following a strange melody  
We're all summoned by a tune  
We're following the piper  
And we dance beneath the moon  
We're following the piper  
And we dance beneath the moon for him  
And we dance beneath the moon  
Sub luna saltamus  
  
He gave them a dream  
He seduced everybody in the land  
The fire in his eyes  
And the fear was a weapon in his hand  
So they let him play  
Play their minds away  
  
We're all following a strange melody  
We're all summoned by a tune  
We're following the piper  
And we dance beneath the moon  
We're following the piper  
And we dance beneath the moon for him  
And we dance beneath the moon  
  
And we dance beneath the moon

"
ABBA,/a/abba/when+i+kissed+the+teacher_20002628.html,When I Kissed The Teacher,"Everybody screamed when I kissed the teacher  
And they must have thought they dreamed when I kissed the teacher  
All my friends at school  
They had never seen the teacher blush, he looked like a fool  
Nearly petrified 'cause he was taken by surprise  
When I kissed the teacher  
Couldn't quite believe his eyes, when I kissed the teacher  
My whole class went wild  
As I held my breath, the world stood still, but then he just smiled  
I was in the seventh heaven when I kissed the teacher  
  
One of these days  
Gonna tell him I dream of him every night  
One of these days  
Gonna show him I care, gonna teach him a lesson alright  
  
I was in a trance when I kissed the teacher  
Suddenly I took the chance when I kissed the teacher  
Leaning over me, he was trying to explain the laws of geometry  
And I couldn't help it, I just had to kiss the teacher  
  
One of these days  
Gonna tell him I dream of him every night  
One of these days  
Gonna show him I care, gonna teach him a lesson alright  
  
What a crazy day, when I kissed the teacher  
All my sense had flown away when I kissed the teacher  
My whole class went wild  
As I held my breath, the world stood still, but then he just smiled  
I was in the seventh heaven when I kissed the teacher  
(I want to hug, hug, hug him)  
When I kissed the teacher  
(I want to hug, hug him)  
When I kissed the teacher  
(I want to hug, hug, hug him)  
When I kissed the teacher  
(I want to hug, hug him)  
When I kissed the teacher  
(I want to hug, hug, hug him)

"
Ace Of Base,/a/ace+of+base/always+have+always+will_20003561.html,"Always Have, Always Will","Always have, always will  
I was mesmerized when I first met you  
Wouldn't let myself believe  
That you could step right out of my wildest dreams  
But you didn't know  
That secret part of me  
Until we kissed an made it open up so easily  
  
I always have  
Even when it didn't show  
I always will  
You know that I just want to touch you  
Whenever you're close to me  
I always have  
Doesn't matter where we go  
I always will  
You know that I just want to show you  
Just how much you mean to me  
Always have, always will  
  
Everything that you give in to  
Everything you'll ever need  
Is locked up somewhere deep inside of me  
You gotta know  
But more importantly  
You've got to stay and hold me while we live this fantasy  
  
I always have  
Even when it didn't show  
I always will  
You know that I just want to touch you  
Whenever you're close to me  
I always have  
Doesn't matter where we go  
I always will  
You know that I just want to show you  
Just how much you mean to me  
  
Sometimes we try too hard to please  
We should let love come naturally  
And sometimes I don't know  
Just what you really do to me  
That is O.K.  
'cause it's all part of the mystery  
  
I always have  
Even when it didn't show  
I always will  
You know that I just want to touch you  
Whenever you're close to me  
I always have  
Doesn't matter where we go  
I always will  
You know that I just want to show you  
Just how much you mean to me  
Always have, always will  
  
I always have  
Even when it didn't show  
I always will  
You know that I just want to touch you  
Whenever you're close to me  
I always have  
Doesn't matter where we go  
I always will  
You know that I just want to show you  
Just how much you mean to me  
Always have, always will

"
Ace Of Base,/a/ace+of+base/happy+nation_20003614.html,Happy Nation,"Laudate omnes gentes laudate  
Magnificat in secula  
Et anima mea laudate  
Magnificat in secula  
  
Happy nation living in a happy nation  
Where the people understand  
And dream of the the perfect man  
A situation leading to sweet salvation  
  
For the people for the good  
For mankind brotherhood  
We're traveling in time  
Ideas by man and only that will last  
  
And over time we've learned from the past  
That no man's fit to rule the world alone  
A man will die but not his ideas  
Happy nation  
  
We're traveling in time  
Traveling in time  
Tell them we've gone too far  
Tell them we've gone too far  
  
Happy nation come through  
And I will dance with you  
Happy nation  
Happy nation

"
Air Supply,/a/air+supply/believer_20522284.html,Believer,"Believer  
I got no where to go  
Believer  
The only one I know  
Between us I'm the stranger  
Who never does the things that people do  
I let it through  
  
  
Believer  
We always seem to shine  
Believer  
You're always reaching high  
  
  
And I'm just drifting  
You understand the problems passing through  
I'm still with you  
It's like a storybook romance  
Everything is so right with the prince in the trees  
Waiting underneath the window for you  
Any moment he'll sing you a melody  
When you're hard and start a life on your own  
If you always knew the ending had to come true  
  
  
Believer  
I've got a troubled mind  
Believer  
We've got to break it down  
Somewhere inside is a weakness  
That wants to be discovered  
Just like you  
I'll help you too  
  
  
It's like reading a storybook romance  
Everything is so right with the prince in the trees  
Waiting underneath the window for you  
Any moment he'll sing you a melody  
When your hard and start a life on your own  
If you always knew the ending had to come true  
  
  
Believer  
We always seem to shine  
Believer  
You're always reaching high  
  
  
And if you're just drifting  
You understand the problems passing through  
I'm still with you  
Believer  
Believer  
Believer...

"
Air Supply,/a/air+supply/hard+to+forget+her_20218441.html,Hard To Forget Her,"CLOSE YOUR EYES AND FILL THE SKIES  
WITH COTTON CANDY CLOUDS  
STEP INSIDE THE RAINBOW  
RIDE WHERE DRAGONFLIES SING LOUD  
COLORS FALLING, BUTTERFLIES AND FLOWERS  
PAINT THE GROUND  
CUCKOOS CALLING, DO I HAVE TO GO  
AND IT'S HARD, SO HARD TO FORGET HER  
  
THIS IS WHERE WE ALWAYS SAID  
THAT EVERYTHING IS REAL  
HANGING FROM A SPIDER'S WEB  
THE VALLEYS AND THE FIELDS  
FOLLOW ME INSIDE THE TREE  
AND CATCH ME IF YOU CAN  
SOMEONE ELSE IS PLAYING IN THE SAND  
AND IT'S HARD, SO HARD TO FORGET HER  
  

"
Air Supply,/a/air+supply/its+automatic_20004991.html,It's Automatic,"(graham russell)  
  
All my life I've been a manual man  
I like the floor all the power in my hand  
Driving up and down the road all day  
Overtaking anything in the way  
Alongside us came a man in a grin  
Winding down the window clever again  
You know manual is far too old  
To keep pace then he left us cold  
  
It's automatic, it's automatic  
It's automatic, it goes by itself  
  
  
Quick thinking and a mutual aim  
So on finding out the name of the game  
A different unit was ordered that day  
Who wants to go thru' the gears anyway  
The same color the same design  
The same car with a different mind  
Knowing now we wouldn't take second place  
Both saying with a smile on our face.

"
Air Supply,/a/air+supply/my+best+friend_20004817.html,My Best Friend,"You're here looking like my best friend  
Hoping you'll find a way  
To tell me you just can't stay  
  
You laughed hard at the world, I know  
Now that the seasons show  
To tell me, love, your heart will soon mend  
  
We counted everyday  
Only to show we needed each other  
Who needs a reason to love  
When friends just seem to know  
They know it  
  
You have lots of dreams, I know  
Now it's the close of the show  
Let's hope it'll all passes by in the end  
So get yourself along  
You're my best friend

"
