artist,link,song,text
Beautiful South,/b/beautiful+south/poppy_20015260.html,Poppy,"'I fought hard in the Second World War'  
You hear them shout  
No good bragging about the Afrika Korps  
It was Beadle's About  
  
They dressed you up and took you off to World War One  
Armed you and surrounded you with wire  
Sat in stinking mud you sung your stupid songs  
And waited till they told you when to fire  
  
Cause the rulers always laugh  
At a video bloodbath  
Nothing makes them laugh  
Like a video bloodbath  
  
From the First World War to the Yom-Kippur  
It was Beadle's About  
The bayonets slice, the rockets roar  
And he jumps out  
  
Fond memories of the bloody bridge you failed to hold  
Many of your buddies killed or maimed  
You would've shot at rabbits if that's what you'd been told  
Till the General said 'I'm sorry you've been framed'  
  
Cause the rulers always laugh  
At a video bloodbath  
And nothing gets a laugh  
Like a video bloodbath  
  
Keep those entries coming  
Leave those cameras running  
Keep those entrails coming  
Leave those soldiers gunning  
Because you're sure to get a laugh  
With a video bloodbath  
Nothing gets a laugh  
Like a video bloodbath  
  
Here's a wacky video we got last week  
A bomb catches Arthur unawares  
He's lost both his arms and he can't see or speak  
But thank you for the memory you shared  
  
Cause the rulers always laugh  
At a video bloodbath  
And nothing gets a laugh  
Like a video bloodbath  
  
Keep those entries coming  
Leave those cameras running  
Keep those entrails coming  
Leave those soldiers gunning  
Because you're sure to get a laugh  
With a video bloodbath  
Nothing gets a laugh  
Like a video bloodbath

"
Bill Withers,/b/bill+withers/hello+like+before_20214309.html,Hello Like Before,"Hello like before  
I'd never come here  
If I'd known that you were here  
I must admit though  
That's it's nice to see you, dear  
You look like you've been doing well  
  
Hello like before  
I hope we've grown  
'Cause we were only children then  
For laughs I guess we both can say  
'I knew when'  
But then again, that's kiss and tell  
  
Hello like before  
I guess it's different  
'Cause we know each other now  
I guess I've always known  
We'd meet again somehow  
So that it might as well be now  
  
Hello like before  
I hope we've grown  
'Cause we were only children then  
For laughs I guess we both can say  
'I knew when'  
But then again, that's kiss and tell  
  
Hello like before  
I guess it's different  
'Cause we know each other now  
I guess I've always known  
We'd meet again somehow  
So that it might as well be now  
  
Hello like before  
I hope we've grown  
'Cause we were only children then  
For laughs I guess we both can say  
'I knew when'  
But then again, that's kiss and tell  
  
Hello like before  
I guess it's different  
'Cause we know each other now  
I guess I've always known  
We'd meet again somehow  
So that it might as well be now

"
Blur,/b/blur/best+days_20021000.html,Best Days,"Bow bells say goodbye to the last train  
Over the river they all go again  
Out into leafy nowhere hope someone  
Waiting out there for them  
Cabbie has his mind on a fare to the sun  
He works nights but it's not much fun  
Picks up the London yo-yo's, all on their own down Soho  
Please take me home  
  
Other people wouldn't want to hear you  
If you said that these are the best days of their lives  
Other people would turn around an d laugh at you  
If you said that these were the best days of our lives  
  
Trellick Tower's been calling  
I know she'll leave me in the morning  
  
In hotel cells listening to dial tones  
Remote controls and cable moans  
In his drink he's been talking  
Gets disconnected sleepwalking back home

"
Bon Jovi,/b/bon+jovi/kidnap+an+angel_20806349.html,Kidnap An Angel,"I get up every morning, drink coffee alone  
My house it's too quiet, I'm the only one home  
I let the newspapers pile up at the door  
I can't be bothered, I don't read 'em no more  
The flowers are blooming, that you planted last spring  
I can't make much sense out of anything  
  
If I could kidnap an angel, I'd clip off his wings  
And bring them to you that would fix everything  
  
I get in the car like I do every day  
Wondering how in the world did it turn out this way?  
It's just 'round the corner, turn left and I'm there  
I'd do anything to be anywhere but here  
  
If I could kidnap an angel, I'd clip off his wings  
And bring them to you that would fix everything  
If I could kidnap an angel he could teach us to fly  
We'd live forever, forever, we'd never die  
If I could kidnap an angel  
  
Now the parking attendant knows my first name  
These long green hallways all look the same  
There's four elevators, one goes to that floor  
I brace myself when I get to the door  
I close my eyes and take a deep breath  
Then sit down beside your hospital bed  
  
If I could kidnap an angel, I'd clip off his wings  
And bring them to you that would fix everything  
If I could kidnap an angel he could teach us to fly  
We'd live forever, forever, we'd never die  
If I could kidnap an angel, if I could kidnap an angel  
  
He'd say the word, he'd tear down these walls  
People laughing like children through these hospital halls  
There'd be no more tears, there'd be no more blood  
There'd be nothing but smiles, nothing but love  
If I could kidnap an angel, if I could kidnap an angel

"
Carly Simon,/c/carly+simon/half+a+chance_20027219.html,Half A Chance,"You said we'd light the firmament  
You said our love was permanent  
You said we'd stick through thick and thin  
Through up and down, through lose and win  
But comes the first sign of stormy weather  
You're packin' your bags in the trance  
But you gotta give  
  
Half a chance  
Half a chance  
Half a chance  
To our romance  
  
you can't pretend it's Camelot  
Then start to run when things get hot  
When love explodes there's always heat  
There's always bitter with the sweet  
There's always times when your legs feel broken  
But you still don't drop out of the dance  
You gotta give  
  
Half a chance  
Half a chance  
Half a chance  
To our romance

"
Cher,/c/cher/after+all_10061527.html,After All,"Well, here we are again  
I guess it must be fate  
We've tried it on our own  
But deep inside we've known  
We'd be back to set things straight  
I still remember when your kiss was so brand new  
Every memory repeats  
Every step I take retreats  
Every journey always brings me back to you  
  
After all the stops and starts  
We keep comin' back to these two hearts  
Two angels who've been rescued from the fall  
After all that we've been through  
It all comes down to me and you  
I guess it's meant to be, forever you and me, after all  
  
When love is truly right  
(This time it's truly right)  
It lives from year to year  
It changes as it goes  
Oh, and on the way it grows  
But it never disappears  
  
After all the stops and starts  
We keep comin' back to these two hearts  
Two angels who've been rescued from the fall  
After all that we've been through  
It all comes down to me and you  
I guess it's meant to be, forever you and me, after all  
  
Always just beyond my touch  
You know I needed you so much  
After all, what else is livin' for?  
  
After all the stops and starts  
We keep comin' back to these two hearts  
Two angels who've been rescued from the fall  
After all that we've been through  
It all comes down to me and you  
I guess it's meant to be, forever you and me, after all  

"
Chicago,/c/chicago/poem+for+the+people_20029848.html,Poem For The People,"If the people only knew  
If they could visualize  
Just open their eyes  
Even stop to think about  
  
If they could open their minds  
They could get beyond  
The world's a funny place you know  
Most of what goes on  
  
Is rarely funny  
Rarely funny  
Could the people understand  
In only whisper and screams  
  
And colorless dreams  
Could they finally comprehend  
If they could suddenly see  
  
And suddenly feel  
The world's a funny place you know  
Most of what goes on  
Is rarely funny  
  
Rarely funny

"
Chris Rea,/c/chris+rea/johnny+needs+a+fast+car_20030569.html,Johnny Needs A Fast Car,"Johnny needs a fast car  
Johnny needs it bad  
Johnny always do the best  
Whatever johnny has  
Johnny needs a fast one  
Johnny needs it now  
You got to give him something to  
Let him show you how  
Johnny needs a fast car  
  
Johnny needs a fast car  
Johnny needs a break  
Johnny don't need good luck  
'cause johnny never fakes  
He'll always make it look good  
You'll always see him smile  
Give johnny a few inches  
And he'll give you back a mile  
  
Johnny needs a fast car  
Johnny needs a fast car  
  
Tears upon the broken bones  
Of luck that never went his way  
Bless this one you'll know him by his smile

"
Christmas Songs,/c/christmas+songs/back+door+santa_20767851.html,Back Door Santa,"I'm your  
Back door Santa  
I make my run  
At the break of day  
They call me  
Back door Santa  
I make my run  
At the break of day  
I keep  
The little girls happy  
While the boys  
Are out to play  
  
Well  
I ain't like  
Old Saint Nick  
He don't come  
But once a year  
(Once a year)  
Well  
I ain't like  
Old Saint Nick  
He don't come  
But once a year  
  
I come runnin'  
With my presents  
Every time  
You call me dear  
  
I kept some change  
In my pocket  
When the jumpin's  
Goin' on  
I gave a few pennies  
So we could be alone  
I kept that door open  
In case anyone  
Smelled a mouse  
'Cause Santa's  
In some trouble  
There ain't no chimney  
In the house  
  
They call me  
Back door Santa  
I make my run  
At the break of day  
They call me  
Back door Santa  
I make my run  
At the break of day  
I keep  
The little girls happy  
While the boys  
Are out to play

"
Chuck Berry,/c/chuck+berry/trick+or+treat_20514543.html,Trick Or Treat,"Trick or treat  
Trick or treat, baby, on a night like this,  
Trick or treat, wo, wo, an d that means a kiss.  
Trick or treat, baby, and don't let me miss  
A sweet kiss from you on a night like this.  
Trick or treat, baby, by the light of the moon,  
Trick or treat, wo, wo, don't leave me so soon.  
Trick or treat, baby, I go in a swoon  
From the sweet way you kiss me by the light of the moon.  
Trick or treat, baby, oh, what a night,  
Trick or treat, wo, wo, what a sweet delight.  
Trick or treat, baby, and hold me tight,  
And keep kissin' me sweetly, oh, what a night.  
Trick or treat, baby, in your own sweet way,  
Trick or treat, wo, wo, anything you say.  
Trick or treat, wo, wo, wo, wo,  
I just love for you to kiss me in your own sweet way.  
  

"
